Company,Address,City,State,Zip,LID,ID,Received,Processed,Grower,SampleID,FarmID,FieldID,GrowerAcct,P (lbs/a),K (lbs/a),Mg (lbs/a),Ca (lbs/a),pHw,pHb,CEC,BS-K,BS-Mg,BS-Ca,BS-H,BS-Na,S (lbs/a),B (lbs/a),Zn (lbs/a),Mn (lbs/a),Fe (lbs/a),Cu (lbs/a),Lime,Gypsum,Nitrogen1,Phosphate2,Phosphate1,Potassium2,Potash1,Magnesium1,Sulfur1,Boron1,Zinc1,Manganese1,Iron1,Copper1,Crop,Yield,Al (lbs/a),Na (lbs/a),OM,NitN (ppm),NH4 (ppm),Mo (ppm),Ni (ppm)
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178431OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C2,I3,,,45,1168,1835,4277,8.9,7.8,22.1,6.8,34.6,48.4,7.2,3,21,10.6,1.9,188,73,3.4,0,,,*,,,,,,,,,,,NO CROP,,,301,0.86,3.86,2.08,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178432OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R2,I3,,,32,1056,1927,4514,8.6,7.8,22.5,6,35.7,50.2,7.1,0.9,16,7.4,1.9,195,66,3.6,0,,,*,,,,,,,,,,,NO CROP,,,98,0.99,3.66,1.51,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178433OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W2,I3,,,36,1065,1824,4431,8.6,7.8,22.2,6.2,34.3,50,7.2,2.4,31,8.9,1.9,186,69,3.4,0,,,*,,,,,,,,,,,NO CROP,,,244,1.01,4.06,1.74,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178434OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR2,I3,,,49,1171,1836,4227,8.7,7.85,21.4,7,35.7,49.3,5.6,2.4,22,10.4,2.4,190,71,3.5,0,,,*,,,,,,,,,,,NO CROP,,,240,1.13,4.95,1.47,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178435OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C1-2,I1,,,18,865,1798,2791,8.7,7.8,17.6,6.3,42.6,39.7,9.1,2.3,24,9,1.4,169,73,3,0,,,*,,,,,,,,,,,NO CROP,,,190,0.91,2.92,1.37,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178436OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1-2,I1,,,20,880,1613,2688,8.6,7.85,16.2,7,41.5,41.5,7.4,2.5,31,8,1.6,147,65,2.6,0,,,*,,,,,,,,,,,NO CROP,,,189,0.8,5.88,2.08,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178437OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1-2,I1,,,22,728,1515,2780,8.1,7.8,16.2,5.8,39,43,9.9,2.3,20,7.5,1.7,155,90,2.8,0,,,*,,,,,,,,,,,NO CROP,,,171,0.65,4.69,3,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178438OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR-2,I1,,,25,875,1621,2640,8.3,7.85,16,7,42.2,41.2,7.5,2.1,40,7.5,1.9,154,66,2.9,0,,,*,,,,,,,,,,,NO CROP,,,152,0.4,8.01,4.79,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178439OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C2-2,I1,,,17,781,1814,2816,8.8,7.8,17.8,5.6,42.5,39.6,9,3.3,31,9.4,1.4,162,67,2.8,0,,,*,,,,,,,,,,,NO CROP,,,266,0.35,19.81,20.22,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178440OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R2-2,I1,,,22,836,1780,2856,8.6,7.8,17.7,6.1,42,40.4,9.1,2.4,26,7.9,2,164,65,3,0,,,*,,,,,,,,,,,NO CROP,,,196,0.37,5.02,2.05,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178441OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W2-2,I1,,,18,797,1773,2765,8.7,7.85,17,6,43.5,40.7,7.1,2.7,23,8.7,1.6,162,73,3.1,0,,,*,,,,,,,,,,,NO CROP,,,207,0.83,2.89,1.47,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178442OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR2-2,I1,,,17,867,1821,2839,8.6,7.85,17.6,6.3,43.2,40.4,6.8,3.2,43,9.1,1.6,158,68,2.9,0,,,*,,,,,,,,,,,NO CROP,,,258,0.39,4.45,2.06,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178443OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C1-2,I2,,,20,1020,1702,3449,8.7,7.8,19.1,6.8,37.1,45.1,8.4,2.7,30,10.8,1.7,158,75,3.4,0,,,*,,,,,,,,,,,NO CROP,,,235,0.45,2.7,1.63,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178444OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1-2,I2,,,19,861,2141,3267,8.7,7.8,20.3,5.4,44,40.3,7.9,2.3,27,9.6,1.7,163,71,3.3,0,,,*,,,,,,,,,,,NO CROP,,,216,0.46,4.58,1.8,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178445OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1-2,I2,,,21,818,1996,3015,8.7,7.8,19,5.5,43.7,39.6,8.4,2.9,31,9.2,1.4,158,70,3.1,0,,,*,,,,,,,,,,,NO CROP,,,251,0.39,2.03,1.39,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178446OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR1-2,I2,,,22,951,1825,3456,8.5,7.85,19.2,6.3,39.6,45,6.2,2.8,63,9.9,2,157,72,3.4,0,,,*,,,,,,,,,,,NO CROP,,,250,0.54,7.54,2,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178447OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C2-2,I2,,,23,827,2053,3320,8.7,7.8,20,5.3,42.9,41.6,8,2.2,24,9.5,1.6,158,70,3.2,0,,,*,,,,,,,,,,,NO CROP,,,202,0.4,2.49,2.33,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178448OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R2-2,I2,,,21,950,1855,3389,8.7,7.85,19.2,6.3,40.3,44.2,6.3,2.9,49,9.6,1.8,151,67,3.3,0,,,*,,,,,,,,,,,NO CROP,,,258,0.47,7.64,2.08,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178449OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W2-2,I2,,,25,833,2010,3385,8.7,7.85,19.5,5.5,42.9,43.3,6.1,2.1,43,10.4,1.6,148,75,3.2,0,,,*,,,,,,,,,,,NO CROP,,,192,0.46,3.03,2.38,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178450OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR2-2,I2,,,18,793,2031,3046,8.7,7.85,18.9,5.4,44.9,40.4,6.4,3,37,9.2,1.5,155,67,3.2,0,,,*,,,,,,,,,,,NO CROP,,,264,0.42,4.5,4.04,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178451OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1,I2,,,28,910,1782,3340,8.8,7.85,18.6,6.3,39.8,44.8,6.4,2.7,37,11.3,1.6,151,74,2.9,0,,,*,,,,,,,,,,,NO CROP,,,228,0.41,5.53,3.22,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178452OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR1,I2,,,24,889,1833,3431,8.4,7.8,19.2,5.9,39.8,44.7,8.3,1.3,32,7.2,2.3,159,67,3.1,0,,,*,,,,,,,,,,,NO CROP,,,113,0.58,8.27,2.64,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178453OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C2,I2,,,23,930,1581,3488,8.8,7.85,18.4,6.5,35.8,47.3,6.5,3.9,37,10.5,1.9,145,74,2.8,0,,,*,,,,,,,,,,,NO CROP,,,330,0.4,1.61,2.13,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178454OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R2,I2,,,28,852,1388,3289,8.4,7.8,17,6.4,34,48.3,9.4,1.8,24,6.6,2,138,69,2.7,0,,,*,,,,,,,,,,,NO CROP,,,144,0.41,5.59,3.22,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178455OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W2,I2,,,26,860,1523,3489,8.8,7.8,18.6,5.9,34.1,46.9,8.6,4.4,58,9.4,1.5,146,69,2.9,0,,,*,,,,,,,,,,,NO CROP,,,375,0.38,3.53,2.81,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178456OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR2,I2,,,24,848,1520,3258,8.7,7.85,17.4,6.2,36.4,46.8,6.9,3.7,41,7.9,1.8,147,70,2.8,0,,,*,,,,,,,,,,,NO CROP,,,293,0.53,4.17,3.54,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178457OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C1,I3,,,37,1115,1537,3876,8.6,7.85,19.1,7.5,33.4,50.6,6.3,2.2,21,8.6,1.9,161,67,3.1,0,,,*,,,,,,,,,,,NO CROP,,,195,0.48,3.56,1.65,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178458OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1,I3,,,36,1145,1608,3692,8.7,7.85,19,7.7,35.2,48.5,6.3,2.3,27,10,2.1,163,63,3.1,0,,,*,,,,,,,,,,,NO CROP,,,202,0.53,4.2,1.43,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178459OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1,I3,,,39,1158,1596,3538,8.7,7.8,19.2,7.7,34.7,46.1,8.3,3.1,35,9.4,1.8,170,66,3.3,0,,,*,,,,,,,,,,,NO CROP,,,274,0.5,3.13,1.71,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178460OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR1,I3,,,37,1153,1743,4124,8.6,7.85,20.5,7.2,35.5,50.4,5.9,1,22,9.5,2.2,166,69,3.3,0,,,*,,,,,,,,,,,NO CROP,,,96,0.6,5.51,1.72,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178461OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C1-2,I3,,,29,1032,1846,3809,8.7,7.85,20.3,6.5,37.9,46.9,5.9,2.8,30,10.2,1.8,172,65,3.4,0,,,*,,,,,,,,,,,NO CROP,,,259,0.46,3,2.16,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178462OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1-2,I3,,,29,864,2060,3151,8.3,7.8,19.4,5.7,44.3,40.6,8.2,1.2,23,7,3.1,166,61,3.4,0,,,*,,,,,,,,,,,NO CROP,,,104,0.45,5.72,4.58,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178463OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1-2,I3,,,27,1019,1983,3869,8.4,7.75,21.5,6.1,38.4,44.9,9.3,1.4,22,8.8,3.5,172,67,3.4,0,,,*,,,,,,,,,,,NO CROP,,,134,0.4,1.65,2.27,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178464OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR1-2,I3,,,31,1059,2418,4277,8.6,7.8,24.4,5.6,41.3,43.8,6.6,2.7,54,10.4,2.4,201,67,4.1,0,,,*,,,,,,,,,,,NO CROP,,,304,0.4,5.24,1.91,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178465OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C2-2,I3,,,32,1077,2340,3990,8.5,7.8,23.2,6,42.1,43.1,6.9,2,29,9.9,1.8,185,65,3.7,0,,,*,,,,,,,,,,,NO CROP,,,210,0.46,1.43,2.23,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178466OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R2-2,I3,,,28,874,2221,4150,8.7,7.8,22.8,4.9,40.6,45.6,7,1.8,32,8.9,2,179,61,3.6,0,,,*,,,,,,,,,,,NO CROP,,,192,0.47,4.56,2.23,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178467OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W2-2,I3,,,29,996,2043,4476,8.7,7.8,23.1,5.5,36.9,48.5,6.9,2.2,38,10.9,2.1,174,63,3.4,0,,,*,,,,,,,,,,,NO CROP,,,231,0.44,3.03,1.33,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178468OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR2-2,I3,,,25,955,2308,3626,8.7,7.8,21.9,5.6,43.9,41.4,7.3,1.9,25,7.9,1.9,181,59,3.6,0,,,*,,,,,,,,,,,NO CROP,,,191,0.46,17.26,18.48,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178469OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C1,D1,,,25,1032,1577,3660,8.8,7.85,18.8,7,35,48.7,6.4,2.8,25,10.6,1.7,160,70,2.8,0,,,*,,,,,,,,,,,NO CROP,,,242,0.3,6.66,4.32,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178470OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1,D1,,,31,1001,1520,3640,8.5,7.85,18.1,7.1,35,50.3,6.6,0.9,18,7.4,2.7,166,65,3,0,,,*,,,,,,,,,,,NO CROP,,,78,0.38,7.17,1.47,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178471OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1,D1,,,32,978,1464,3478,8.5,7.8,17.8,7,34.2,48.8,9,1,16,7.4,1.8,161,68,2.8,0,,,*,,,,,,,,,,,NO CROP,,,85,0.39,2.81,1.47,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178472OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR1,D1,,,22,913,1831,3405,8.6,7.85,18.8,6.2,40.6,45.3,6.4,1.5,22,9.4,1.8,161,68,2.8,0,,,*,,,,,,,,,,,NO CROP,,,127,0.39,6.94,1.41,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178473OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C2,D1,,,33,998,1526,3555,8.4,7.8,18.3,7,34.8,48.7,8.8,0.8,18,7.4,1.7,168,73,3,0,,,*,,,,,,,,,,,NO CROP,,,65,0.28,3.2,2.4,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178474OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R2,D1,,,24,981,1572,3485,8.6,7.85,18,7,36.3,48.3,6.6,1.8,19,8.6,1.6,160,71,2.9,0,,,*,,,,,,,,,,,NO CROP,,,151,0.34,4.45,1.33,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178475OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W2,D1,,,24,1084,1579,3641,8.8,7.8,19.1,7.3,34.4,47.6,8.4,2.3,21,10.2,1.6,161,75,2.9,0,,,*,,,,,,,,,,,NO CROP,,,200,0.34,5.15,1.86,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178476OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR2,D1,,,25,913,1557,3766,8.6,7.85,18.5,6.3,35.1,50.9,6.5,1.2,16,7.7,1.6,164,63,3,0,,,*,,,,,,,,,,,NO CROP,,,102,0.34,2.57,1.76,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178477OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C1,D2,,,33,1336,1632,3673,8.5,7.85,19.2,8.9,35.4,47.8,6.3,1.6,24,9.9,1.8,170,70,3.2,0,,,*,,,,,,,,,,,NO CROP,,,140,0.46,7.32,2.55,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178478OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1,D2,,,34,1106,1823,3846,8.5,7.8,20.4,6.9,37.2,47,7.8,1,23,8.3,2.1,164,67,3.2,0,,,*,,,,,,,,,,,NO CROP,,,96,0.44,6.89,2.31,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178479OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1,D2,,,32,1162,1676,3621,8.7,7.8,19.5,7.7,35.9,46.5,8.2,1.8,19,9.8,1.8,162,71,3.1,0,,,*,,,,,,,,,,,NO CROP,,,160,0.41,3.29,2.23,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178480OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR1,D2,,,37,1290,1941,4190,8.5,7.8,22.1,7.5,36.7,47.5,7.3,1.1,24,9.9,2.3,176,67,3.3,0,,,*,,,,,,,,,,,NO CROP,,,112,0.51,9.87,2.66,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178481OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,C2,D2,,,36,991,1990,3984,8.7,7.85,21.2,6,39.1,47,5.7,2.2,29,10.6,1.7,160,70,3.2,0,,,*,,,,,,,,,,,NO CROP,,,216,0.46,2.57,2.23,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178482OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R2,D2,,,32,1139,1772,3853,8.5,7.8,20.2,7.2,36.5,47.6,7.9,0.8,20,8.6,2.3,169,69,3.3,0,,,*,,,,,,,,,,,NO CROP,,,76,0.45,3.83,2,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178483OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W2,D2,,,28,1156,1630,3966,8.7,7.85,19.9,7.4,34.1,49.7,6,2.7,34,10.4,2.1,160,71,3.2,0,,,*,,,,,,,,,,,NO CROP,,,249,0.35,6.82,3.22,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178484OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR2,D2,,,33,1175,1608,3733,8.7,7.85,19.3,7.8,34.8,48.5,6.2,2.7,27,10.2,1.8,162,73,3.3,0,,,*,,,,,,,,,,,NO CROP,,,237,0.41,6.49,2.76,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178486OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,R1,D3,,,42,1090,1936,4081,8.5,7.8,21.4,6.5,37.7,47.7,7.5,0.6,20,7.6,1.9,177,65,3.3,0,,,*,,,,,,,,,,,NO CROP,,,55,0.33,6.42,2.58,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178487OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,W1,D3,,,37,906,2307,3775,8.8,7.8,22.3,5.2,43.1,42.3,7.2,2.3,20,11.2,1.7,180,68,3.4,0,,,*,,,,,,,,,,,NO CROP,,,231,0.27,3.81,2.14,,
TEXAS TECH-DEPT OF BIOLOGY,TTU Biology 2901 MAIN ST,LUBBOCK,TX,79409,,178488OO,12/6/21 0:00,12/8/21 0:00,TEXAS TECH,WR1,D3,,,60,1228,1585,4544,8.4,7.8,21.6,7.3,30.5,52.5,7.4,2.2,31,8.1,3.3,182,61,3.5,0,,,*,,,,,,,,,,,NO CROP,,,222,0.53,19.46,2.58,,
